Date,Description,Deposits,Withdrawls,Balance
20-Aug-2020,Cash,"97,540.00",00.00,"170,542.01"
20-Aug-2020,Commission,00.00,"34,108.40","136,433.61"
20-Aug-2020,ATM,41.00,00.00,"136,474.61"
20-Aug-2020,Interest,50.00,00.00,"136,524.61"
20-Aug-2020,Commission,00.00,"34,131.15","102,393.46"
20-Aug-2020,Reversal,00.00,"17,065.58","85,327.88"
20-Aug-2020,Reversal,"204,765.00",00.00,"290,092.88"
20-Aug-2020,Cheque,"53,121.00",00.00,"343,213.88"
20-Aug-2020,NEFT,07.10,00.00,"343,220.98"
20-Aug-2020,IMPS,03.46,00.00,"343,224.44"
20-Aug-2020,Transfer,03.00,00.00,"343,227.44"
20-Aug-2020,RTGS,"223,558.62",00.00,"566,786.06"
20-Aug-2020,ATM,"496,536.75",00.00,"1,063,322.81"
20-Aug-2020,Reversal,"770,726.00",00.00,"1,834,048.81"
20-Aug-2020,Interest,00.00,"1,834,048.81",00.00
20-Aug-2020,Bill,00.01,00.00,00.01
20-Aug-2020,Commission,"18,690.68",00.00,"18,690.69"
20-Aug-2020,Cash,00.00,"1,869.07","16,821.62"
20-Aug-2020,Cheque,190.00,00.00,"17,011.62"
20-Aug-2020,Tax,55.00,00.00,"17,066.62"
20-Aug-2020,ATM,00.00,"1,896.29","15,170.33"
20-Aug-2020,Transfer,00.00,"3,034.07","12,136.26"
20-Aug-2020,ATM,26.60,00.00,"12,162.86"
20-Aug-2020,ATM,00.00,"6,081.43","6,081.43"
20-Aug-2020,NEFT,"1,986,737.80",00.00,"1,992,819.23"
20-Aug-2020,Reversal,00.00,"664,273.08","1,328,546.15"
20-Aug-2020,Cash,03.81,00.00,"1,328,549.96"
20-Aug-2020,RTGS,"1,474.00",00.00,"1,330,023.96"
20-Aug-2020,Interest,00.00,"147,780.44","1,182,243.52"
20-Aug-2020,Bill,00.00,"168,891.93","1,013,351.59"
20-Aug-2020,Transfer,191.00,00.00,"1,013,542.59"
20-Aug-2020,Interest,"22,709.69",00.00,"1,036,252.28"
20-Aug-2020,ATM,44.00,00.00,"1,036,296.28"
20-Aug-2020,Interest,54.05,00.00,"1,036,350.33"
20-Aug-2020,IMPS,178.00,00.00,"1,036,528.33"
20-Aug-2020,ATM,00.00,"518,264.17","518,264.16"
20-Aug-2020,Miscellaneous,00.00,"103,652.83","414,611.33"
20-Aug-2020,Cash,16.00,00.00,"414,627.33"
20-Aug-2020,Transfer,00.00,"46,069.70","368,557.63"
20-Aug-2020,Debit Card,00.00,"184,278.82","184,278.82"
20-Aug-2020,NEFT,00.00,"30,713.14","153,565.68"
21-Aug-2020,Cash,"14,418.10",00.00,"167,983.78"
21-Aug-2020,RTGS,00.00,"33,596.76","134,387.02"
21-Aug-2020,Purchase,00.00,"44,795.67","89,591.35"
21-Aug-2020,Debit Card,492.86,00.00,"90,084.21"
21-Aug-2020,ATM,00.00,"90,084.21",00.00
21-Aug-2020,RTGS,08.00,00.00,08.00
21-Aug-2020,Bill,"7,099.00",00.00,"7,107.00"
21-Aug-2020,Purchase,02.60,00.00,"7,109.60"
21-Aug-2020,NEFT,772.40,00.00,"7,882.00"
21-Aug-2020,Bill,"1,335,369.25",00.00,"1,343,251.25"
21-Aug-2020,NEFT,"31,237.00",00.00,"1,374,488.25"
